plan_attributes_PUF-2
StandardComponentId,PlanMarketingName,URLForSummaryofBenefitsCoverage
17091AL0010001,Bronze Classic Standard,https://d3ul0st9g52g6o.cloudfront.net/2026/AL/sbc/2026_17091AL001000100.pdf
17091AL0010002,Bronze Classic 4700,https://d3ul0st9g52g6o.cloudfront.net/2026/AL/sbc/2026_17091AL001000200.pdf
17091AL0010003,Bronze Elite + PCP Saver Plus,https://d3ul0st9g52g6o.cloudfront.net/2026/AL/sbc/2026_17091AL001000300.pdf
17091AL0010004,Bronze Simple Chronic Care CKM,https://d3ul0st9g52g6o.cloudfront.net/2026/AL/sbc/2026_17091AL001000400.pdf
17091AL0010005,Silver Classic Standard,https://d3ul0st9g52g6o.cloudfront.net/2026/AL/sbc/2026_17091AL001000500.pdf
17091AL0010006,Silver Simple,https://d3ul0st9g52g6o.cloudfront.net/2026/AL/sbc/2026_17091AL001000600.pdf
17091AL0010007,Silver Simple Chronic Care CKM,https://d3ul0st9g52g6o.cloudfront.net/2026/AL/sbc/2026_17091AL001000700.pdf
17091AL0010008,Gold Classic Standard,https://d3ul0st9g52g6o.cloudfront.net/2026/AL/sbc/2026_17091AL001000800.pdf
17091AL0010009,Gold Simple,https://d3ul0st9g52g6o.cloudfront.net/2026/AL/sbc/2026_17091AL001000900.pdf
46944AL0370001,Blue Value Gold,https://www.alabamablue.com/sb/2026vgi.pdf
46944AL0410001,Blue Value Silver,https://www.alabamablue.com/sb/2026vsi.pdf
46944AL0460001,Blue Saver Bronze,https://www.alabamablue.com/sb/2026sbi.pdf
46944AL0470001,Blue Protect,https://www.alabamablue.com/sb/2026bpi.pdf
46944AL0560001,Blue HSA Bronze,https://www.alabamablue.com/sb/2026hbi.pdf
46944AL0650001,Blue Cross Select Gold,https://www.alabamablue.com/sb/2026csg.pdf
46944AL0660001,Blue Cross Select Silver,https://www.alabamablue.com/sb/2026css.pdf
46944AL0710001,Blue Saver Silver EPO,https://www.alabamablue.com/sb/2026epo.pdf
46944AL0720001,Blue Standardized Gold,https://www.alabamablue.com/sb/2026stg.pdf
46944AL0730001,Blue Standardized Silver,https://www.alabamablue.com/sb/2026sts.pdf
46944AL0740001,Blue Standardized Silver EPO,https://www.alabamablue.com/sb/2026ste.pdf
46944AL0750001,Blue Standardized Bronze,https://www.alabamablue.com/sb/2026stb.pdf
46944AL0770001,Blue Statewide Silver EPO,https://www.alabamablue.com/sb/2026bse.pdf
46944AL0780001,Blue Standardized Statewide Silver EPO,https://www.alabamablue.com/sb/2026bsw.pdf
53932AL0100003,Everyday Bronze,https://api.centene.com/SBC/2026/53932AL0100003-00.pdf
53932AL0100005,Focused Silver,https://api.centene.com/SBC/2026/53932AL0100005-00.pdf
53932AL0100011,Standard Expanded Bronze,https://api.centene.com/SBC/2026/53932AL0100011-00.pdf
53932AL0100012,Standard Silver,https://api.centene.com/SBC/2026/53932AL0100012-00.pdf
53932AL0100013,Standard Gold,https://api.centene.com/SBC/2026/53932AL0100013-00.pdf
53932AL0100014,Elite Bronze,https://api.centene.com/SBC/2026/53932AL0100014-00.pdf
53932AL0100015,Complete Gold,https://api.centene.com/SBC/2026/53932AL0100015-00.pdf
53932AL0100016,Elite Gold,https://api.centene.com/SBC/2026/53932AL0100016-00.pdf
53932AL0100018,Enhanced Diabetes Care Silver with $0 Drug Options,https://api.centene.com/SBC/2026/53932AL0100018-00.pdf
53932AL0110003,Everyday Bronze + Vision + Adult Dental,https://api.centene.com/SBC/2026/53932AL0110003-00.pdf
53932AL0110005,Focused Silver + Vision + Adult Dental,https://api.centene.com/SBC/2026/53932AL0110005-00.pdf
53932AL0110010,Complete Gold + Vision + Adult Dental,https://api.centene.com/SBC/2026/53932AL0110010-00.pdf
53932AL0110011,Standard Expanded Bronze + Vision + Adult Dental,https://api.centene.com/SBC/2026/53932AL0110011-00.pdf
53932AL0110013,Standard Gold + Vision + Adult Dental,https://api.centene.com/SBC/2026/53932AL0110013-00.pdf
53932AL0110014,Elite Bronze + Vision + Adult Dental,https://api.centene.com/SBC/2026/53932AL0110014-00.pdf
53932AL0110015,Elite Gold + Vision + Adult Dental,https://api.centene.com/SBC/2026/53932AL0110015-00.pdf
53932AL0110017,Standard Silver + Vision + Adult Dental,https://api.centene.com/SBC/2026/53932AL0110017-00.pdf
53932AL0110018,Enhanced Diabetes Care Silver with $0 Drug Options + Vision + Adult Dental,https://api.centene.com/SBC/2026/53932AL0110018-00.pdf
69461AL0110004,"UHC Silver Value ($0 Virtual Urgent Care, No Referrals)",https://www.uhc.com/ifp/sbc.69461AL0110004-00.en.2026.pdf
69461AL0110010,UHC Gold Standard (No Referrals),https://www.uhc.com/ifp/sbc.69461AL0110010-00.en.2026.pdf
69461AL0110013,"UHC Silver Copay Focus $0 Indiv Med Ded ($0 Virtual Urgent Care, No Referrals)",https://www.uhc.com/ifp/sbc.69461AL0110013-00.en.2026.pdf
69461AL0110014,UHC Silver Standard (No Referrals),https://www.uhc.com/ifp/sbc.69461AL0110014-00.en.2026.pdf
69461AL0110018,UHC Bronze Standard (No Referrals),https://www.uhc.com/ifp/sbc.69461AL0110018-00.en.2026.pdf
69461AL0110020,"UHC Bronze Copay Focus $0 Indiv Med Ded ($0 Virtual Urgent Care, No Referrals)",https://www.uhc.com/ifp/sbc.69461AL0110020-00.en.2026.pdf
69461AL0110023,"UHC Gold Copay Focus $0 Indiv Med Ded ($0 Virtual Urgent Care, $5 Tier 2 Rx, No Referrals)",https://www.uhc.com/ifp/sbc.69461AL0110023-00.en.2026.pdf
69461AL0110024,UHC Bronze Essential (No Referrals),https://www.uhc.com/ifp/sbc.69461AL0110024-00.en.2026.pdf
69461AL0110025,"UHC Gold Advantage ($0 Virtual Urgent Care, $5 Tier 2 Rx, No Referrals)",https://www.uhc.com/ifp/sbc.69461AL0110025-00.en.2026.pdf
69461AL0120002,"UHC Gold Advantage+ ($0 Virtual Urgent Care, $5 Tier 2 Rx, Dental + Vision, No Referrals)",https://www.uhc.com/ifp/sbc.69461AL0120002-00.en.2026.pdf
69461AL0120004,"UHC Silver Value+ ($0 Virtual Urgent Care, Dental + Vision, No Referrals)",https://www.uhc.com/ifp/sbc.69461AL0120004-00.en.2026.pdf
69461AL0120005,"UHC Silver Copay Focus+ $0 Indiv Med Ded ($0 Virtual Urgent Care, Dental + Vision, No Referrals)",https://www.uhc.com/ifp/sbc.69461AL0120005-00.en.2026.pdf
69461AL0120006,"UHC Bronze Standard+ (Dental + Vision, No Referrals)",https://www.uhc.com/ifp/sbc.69461AL0120006-00.en.2026.pdf
13887FL0010001,Gold 22 Health,https://22healthplan.com/wp-content/uploads/2025/09/standardgold0001.pdf
13887FL0010002,Standard Silver 22 Health,https://22healthplan.com/wp-content/uploads/2025/09/standardsilver0001.pdf
13887FL0010003,Bronze 22 Health,https://22healthplan.com/wp-content/uploads/2025/09/standardbronze0001.pdf
13887FL0010004,Smart Silver 22 Health,https://22healthplan.com/wp-content/uploads/2025/09/smartsilver0001.pdf
13887FL0010005,Focused Silver 22 Health,https://22healthplan.com/wp-content/uploads/2025/09/focusedsilver0001.pdf
16842FL0120001,BlueSelect Bronze 24L01-01 (Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24L01-01.pdf
16842FL0120033,BlueSelect Silver 1456 ($50 PCP Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/1456.pdf
16842FL0120062,BlueSelect Platinum 1451 ($0 Labs / $15 PCP Visits / $35 Specialist Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/1451.pdf
16842FL0120068,BlueSelect Bronze 1449 (3 PCP Visits for $0 then $55 / $70 Specialist Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/1449.pdf
16842FL0120070,BlueSelect Platinum 1457 ($0 Deductible / $0 Labs / $15 PCP Visits / $25 Specialist Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/1457.pdf
16842FL0120072,BlueSelect Silver 1443 ($10 Labs / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/1443.pdf
16842FL0120076,BlueSelect Gold 1535 ($0 Deductible / $15 PCP Visits / $75 Specialist Visits / $20 Labs / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/1535.pdf
16842FL0120078,BlueSelect Bronze (HSA) 1735 (Rewards / $4 Condition Care Rx),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/1735.pdf
16842FL0120086,BlueSelect Gold 1835 ($40 PCP Visits / $75 Specialist Visits / $15 Labs / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/1835.pdf
16842FL0120091,BlueSelect Bronze 2139 ($50 PCP Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/2139.pdf
16842FL0120093,BlueSelect Bronze 2342S ($50 PCP Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/2342S.pdf
16842FL0120094,BlueSelect Silver 2343S ($40 PCP Visits / $80 Specialist Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/2343S.pdf
16842FL0120095,BlueSelect Gold 2344S ($30 PCP Visits / $60 Specialist Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/2344S.pdf
16842FL0120096,BlueSelect Platinum 2345S ($0 Deductible / $10 PCP Visits / $20 Specialist Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/2345S.pdf
16842FL0260003,BlueOptions Silver 24J01-03 ($10 Labs / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24J01-03.pdf
16842FL0260004,BlueOptions Bronze 24J01-04 (3 PCP Visits for $0 then $55 / $70 Specialist Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24J01-04.pdf
16842FL0260005,BlueOptions Platinum 24J01-05 ($0 Labs / $15 PCP Visits / $35 Specialist Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24J01-05.pdf
16842FL0260006,BlueOptions Bronze 24J01-06 (Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24J01-06.pdf
16842FL0260007,BlueOptions Silver 24J01-07 ($50 PCP Visits / Rewards),https://www.bcbsfl.com/DocumentLibrary/sbc/2026/24J01-07.pdf
